NOM,CODE,CAPITALE,GENTILE
Ouzbkistan,UZB,Tachkent,Ouzbek
Pakistan,PAK,Islamabad,Pakistanais
Palaos,PLW,Melekeok,Paluan
Panama,PAN,Panama,Panamen
Papouasie-Nouvelle-Guine,PNG,Port Moresby,"Papouasien, Papouasienne."
Paraguay,PRY,Assomption (Asuncion),Paraguayen
Pays-Bas,NLD,Amsterdam,Nerlandais
Prou,PER,Lima,Prouvien
Philippines,PHL,Manille,Philippin
Pologne,POL,Varsovie,Polonais
Portugal,PRT,Lisbonne,Portugais
Qatar,QAT,Doha,Qatarien
Roumanie,ROU,Bucarest,Roumain
Royaume-Uni,GBR,Londres,Britannique
Russie,RUS,Moscou,Russe
Rwanda,RWA,Kigali,Rwandais
Saint-Christophe-et-Nivs,KNA,Basseterre,Saint-Christophien
Sainte-Lucie,LCA,Castries,Lucen
Saint-Marin,SMR,Saint-Marin,Saint-marinais
Saint-Vincent-et-les-Grenadines,VCT,Kingstown,Vincentais
Salomon,SLB,Honiara,Salomonais
Salvador,SLV,San Salvador,Salvadorien
Samoa,WSM,Apia,Samoan
Sao Tom-et-Principe,STP,Sao Tom,Santomen
Sngal,SEN,Dakar,Sngalais
Serbie,SRB,Belgrade,Serbe
Seychelles,SYC,Victoria,Seychellois
Sierra Leone,SLE,Freetown,Sierra-lonais
Singapour,SGP,Singapour,Singapourien
Slovaquie,SVK,Bratislava,Slovaque
Slovnie,SVN,Ljubljana,Slovne
Somalie,SOM,Mogadiscio,Somalien
Soudan,SDN,Khartoum,Soudanais
Soudan du Sud,SDS,Djouba,Sud-soudanais
Sri Lanka,LKA,Sri Jayewardenepura-Kotte,Sri-lankais
Sude,SWE,Stockholm,Sudois
Suisse,CHE,Berne,Suisse
Suriname,SUR,Paramaribo,Surinamien
Syrie,SYR,Damas,Syrien
Tadjikistan,TJK,Douchanb,Tadjik.
Tanzanie,TZA,Dodoma,Tanzanien(ne)
Tchad,TCD,Ndjamena,Tchadien
Tchquie,CZE,Prague,Tchque
Thalande,THA,Bangkok,Thalandais
Timor oriental,TLS,Dili,Timorais
Togo,TGO,Lom,Togolais
Tonga,TON,Nuku'alofa,Togien
Trinit-et-Tobago,TTO,Port-d'Espagne (Port of Spain),Trinidadien et Tobagonien.
Tunisie,TUN,Tunis,Tunisien
Turkmnistan,TKM,Achgabat,Turkmne
Turquie,TUR,Ankara,Turc
Tuvalu,TUV,Vaiaku,Tuvaluan
Ukraine,UKR,Kiev,Ukrainien
Uruguay,URY,Montvido,Uruguayen
Vanuatu,VUT,Port-Vila,Vanuatuan
Vatican,VAT,,Vaticanais
Vnzula,VEN,Caracas,Venezuelien
Vietnam,VNM,Hano,Vietnamien
Ymen,YEM,Sanaa,Ymnite
Zambie,ZMB,Lusaka,Zambien(ne)
Zimbabw,ZWE,Harar,Zimbabwen
